code;value;year
SOM;111.3;2024
SDN;109.3;2024
SSD;109;2024
SYR;108.1;2024
COD;106.7;2024
YEM;106.6;2024
AFG;103.9;2024
CAF;103.9;2024
HTI;103.5;2024
TCD;102.7;2024
MMR;100;2024
ETH;98.1;2024
PSE;97.8;2024
MLI;97.3;2024
NGA;96.6;2024
LBY;96.5;2024
GIN;96.4;2024
ZWE;95.7;2024
NER;95.2;2024
CMR;94.3;2024
BFA;94.2;2024
UKR;93.1;2024
LBN;92.7;2024
BDI;92.6;2024
MOZ;92.5;2024
ERI;92.1;2024
PAK;91.7;2024
UGA;91.1;2024
COG;90.2;2024
VEN;89;2024
IRQ;88.6;2024
GNB;88.4;2024
LKA;88.2;2024
MRT;87;2024
LBR;86.9;2024
KEN;86.5;2024
BGD;85.9;2024
AGO;85.6;2024
CIV;85.3;2024
PRK;84.9;2024
TUR;84;2024
GNQ;83.7;2024
IRN;82.9;2024
EGY;82.8;2024
SLE;82.6;2024
RWA;81.8;2024
COM;81.7;2024
DJI;81.6;2024
RUS;81.6;2024
ZMB;81.2;2024
TGO;81.1;2024
MWI;80.5;2024
MDG;79.8;2024
PNG;78.8;2024
KHM;78.6;2024
HND;78.1;2024
NPL;78;2024
SWZ;77.6;2024
SLB;77.6;2024
NIC;76.7;2024
GMB;76.1;2024
TZA;75.7;2024
COL;75.6;2024
PHL;75.1;2024
GTM;74.9;2024
KGZ;74.9;2024
TLS;74.8;2024
LSO;74.6;2024
JOR;74.3;2024
SEN;74.2;2024
LAO;73.8;2024
AZE;72.8;2024
TJK;72.8;2024
BEN;72.5;2024
IND;72.3;2024
PER;72;2024
BIH;71;2024
BRA;70.3;2024
GAB;70.2;2024
ZAF;69.6;2024
BOL;69.4;2024
GEO;69.3;2024
MEX;69;2024
MAR;68.8;2024
BLR;68.7;2024
SLV;68.7;2024
DZA;68.6;2024
STP;68.5;2024
ARM;68.1;2024
ECU;68;2024
SRB;67.8;2024
TUN;67.2;2024
FSM;66.9;2024
FJI;66.4;2024
THA;66.2;2024
UZB;64.8;2024
MDA;64.7;2024
BTN;64.5;2024
CHN;64.4;2024
BHR;64.2;2024
WSM;63.9;2024
IDN;63.7;2024
SAU;63.2;2024
TKM;62.2;2024
PRY;61.5;2024
GHA;60.8;2024
MDV;60.3;2024
DOM;60.2;2024
JAM;59.3;2024
NAM;59.3;2024
GUY;59.2;2024
CUB;59.1;2024
SUR;58.8;2024
MKD;58.1;2024
KAZ;57.8;2024
CPV;57.2;2024
BLZ;57;2024
MNE;56.9;2024
VNM;56.2;2024
ALB;55.9;2024
GRC;54.7;2024
CYP;54.1;2024
BRN;53.9;2024
BWA;53.6;2024
TTO;53.5;2024
MYS;53.1;2024
ATG;51.9;2024
GRD;51.9;2024
ISR;51.5;2024
ROU;51;2024
SYC;51;2024
MNG;50.7;2024
BGR;49.4;2024
KWT;49.3;2024
BHS;48;2024
PAN;47.7;2024
OMN;47.4;2024
HUN;46.2;2024
HRV;45.9;2024
BRB;44.7;2024
USA;44.5;2024
ARG;44.2;2024
ESP;44;2024
POL;41.7;2024
LVA;41.4;2024
CHL;41.1;2024
ITA;41.1;2024
GBR;40.8;2024
QAT;39.8;2024
CRI;39.4;2024
MUS;37.8;2024
CZE;37.7;2024
LTU;37.4;2024
EST;36.5;2024
SVK;35.3;2024
ARE;34.7;2024
URY;33.7;2024
MLT;31.1;2024
BEL;30.3;2024
JPN;30.2;2024
KOR;29.8;2024
FRA;28.3;2024
SVN;26.1;2024
PRT;25.9;2024
SGP;25.4;2024
DEU;24;2024
AUT;23.1;2024
SWE;20.6;2024
AUS;19.6;2024
NLD;19.5;2024
LUX;18.7;2024
CAN;18.6;2024
IRL;18.6;2024
CHE;16.2;2024
DNK;15.9;2024
NZL;15.9;2024
ISL;15.2;2024
FIN;14.3;2024
NOR;12.7;2024
SOM;111.9;2023
YEM;108.9;2023
