code;value;year
AFG;8;2018
AFG;8;2017
AFG;7.9;2016
AFG;7.8;2025
AFG;7.9;2024
AFG;8.1;2023
AFG;8.1;2022
AFG;8;2021
AFG;8.1;2020
AFG;8.1;2019
AGO;5.9;2018
AGO;5.7;2017
AGO;4.9;2016
AGO;5.5;2025
AGO;4.8;2024
AGO;5.5;2023
AGO;5.3;2022
AGO;5.6;2021
AGO;5.4;2020
AGO;5.4;2019
ALB;3.1;2018
ALB;3.2;2017
ALB;3.3;2016
ALB;2.9;2025
ALB;3;2024
ALB;3;2023
ALB;2.9;2022
ALB;2.9;2021
ALB;3.2;2020
ALB;2.9;2019
ARE;2;2018
ARE;2.1;2017
ARE;2;2016
ARE;2.1;2025
ARE;2.1;2024
ARE;2.1;2023
ARE;2.1;2022
ARE;2.2;2021
ARE;2.1;2020
ARE;2.1;2019
ARG;3;2018
ARG;2.8;2017
ARG;2.7;2016
ARG;3;2025
ARG;3.1;2024
ARG;3;2023
ARG;3;2022
ARG;3;2021
ARG;3;2020
ARG;3.1;2019
ARM;3;2018
ARM;3.2;2017
ARM;3.1;2016
ARM;3.1;2025
ARM;3.3;2024
ARM;3;2023
ARM;2.9;2022
ARM;3;2021
ARM;2.9;2020
ARM;2.9;2019
ATG;2.2;2018
ATG;2.2;2017
ATG;2.3;2016
ATG;2;2025
ATG;2;2024
ATG;2.4;2023
ATG;2.3;2022
ATG;2.3;2021
ATG;2.3;2020
ATG;2.1;2019
AUS;2.5;2018
AUS;2.3;2017
AUS;2.3;2016
AUS;2.5;2025
AUS;2.5;2024
AUS;2.6;2023
AUS;2.5;2022
AUS;2.5;2021
AUS;2.5;2020
AUS;2.4;2019
AUT;2.2;2018
AUT;2.2;2017
AUT;2.2;2016
AUT;2.4;2025
AUT;2.4;2024
AUT;2.4;2023
AUT;2.2;2022
AUT;2.2;2021
AUT;2.2;2020
AUT;2.2;2019
AZE;4.9;2018
AZE;5.2;2017
AZE;5.1;2016
AZE;4.4;2025
AZE;5.2;2024
AZE;5.1;2023
AZE;4.9;2022
AZE;5.4;2021
AZE;4.7;2020
AZE;4.9;2019
BDI;5.9;2018
BDI;6;2017
BDI;6.1;2016
BDI;5.9;2025
BDI;5.8;2024
BDI;5.6;2023
BDI;5.9;2022
BDI;6.2;2021
BDI;6;2020
BDI;6;2019
BEL;2.4;2018
BEL;2.4;2017
BEL;2.3;2016
BEL;2.6;2025
BEL;2.6;2024
BEL;2.5;2023
BEL;2.4;2022
BEL;2.4;2021
BEL;2.4;2020
BEL;2.4;2019
BEN;4.3;2018
BEN;4.3;2017
BEN;4.3;2016
BEN;5.3;2025
BEN;5.1;2024
BEN;4.5;2023
BEN;4.5;2022
BEN;4.8;2021
BEN;4.3;2020
BEN;4.2;2019
BFA;5.3;2018
BFA;4.8;2017
BFA;4.6;2016
BFA;7.5;2025
BFA;7.5;2024
BFA;7.4;2023
BFA;7;2022
BFA;6.9;2021
BFA;6.6;2020
BFA;5.8;2019
BGD;6;2018
BGD;5.8;2017
BGD;5.7;2016
BGD;6;2025
BGD;5.5;2024
BGD;5.6;2023
BGD;5.5;2022
BGD;5.6;2021
BGD;5.7;2020
BGD;5.9;2019
BGR;2.4;2018
BGR;2.5;2017
BGR;2.5;2016
BGR;2.6;2025
BGR;2.6;2024
BGR;2.7;2023
BGR;2.4;2022
BGR;2.4;2021
BGR;2.3;2020
BGR;2.4;2019
BHR;2.1;2018
BHR;2.1;2017
BHR;2;2016
BHR;1.8;2025
BHR;1.8;2024
BHR;1.9;2023
BHR;1.9;2022
BHR;1.9;2021
BHR;2;2020
BHR;2;2019
BHS;2.2;2018
BHS;2.2;2017
BHS;2.3;2016
BHS;2.3;2025
BHS;2.3;2024
BHS;2.3;2023
BHS;2.2;2022
BHS;2.3;2021
BHS;2.3;2020
BHS;2.2;2019
BIH;3.6;2018
BIH;3.5;2017
BIH;3.6;2016
BIH;3.5;2025
BIH;3.6;2024
BIH;3.7;2023
BIH;3.7;2022
BIH;3.6;2021
BIH;3.6;2020
BIH;3.6;2019
BLR;2;2018
BLR;2.1;2017
BLR;2.1;2016
BLR;2.6;2025
BLR;2.5;2024
BLR;2.5;2023
BLR;2.3;2022
BLR;2.1;2021
BLR;2.1;2020
BLR;2;2019
BLZ;3.5;2018
BLZ;3.4;2017
BLZ;3.3;2016
BLZ;3.7;2024
BLZ;3.6;2025
BLZ;3.7;2023
BLZ;3.5;2022
BLZ;3.7;2021
BLZ;3.3;2020
BLZ;3.4;2019
BOL;3.7;2018
BOL;3.8;2017
BOL;3.9;2016
BOL;4.2;2025
BOL;4.2;2024
BOL;3.8;2023
BOL;3.9;2022
BOL;3.9;2021
BOL;3.8;2020
BOL;3.6;2019
BRA;4.7;2018
BRA;4.6;2017
BRA;4.5;2016
BRA;5.2;2025
BRA;5.1;2024
BRA;5;2023
BRA;5;2022
BRA;4.9;2021
BRA;5;2020
BRA;4.8;2019
BRB;2.1;2018
BRB;2.1;2017
BRB;2.1;2016
BRB;2.1;2025
BRB;2.1;2024
BRB;2.1;2023
BRB;2.1;2022
BRB;2.1;2021
BRB;2.1;2020
BRB;2.1;2019
BRN;2.4;2018
BRN;2.4;2017
BRN;2.3;2016
BRN;2.3;2025
BRN;2.3;2024
BRN;2.3;2023
BRN;2.3;2022
BRN;2.3;2021
BRN;2.3;2020
BRN;2.3;2019
BTN;3.1;2018
BTN;3.2;2017
BTN;3.3;2016
BTN;2.9;2025
BTN;3.1;2024
BTN;3.1;2023
BTN;3.1;2022
BTN;3.2;2021
BTN;3.1;2020
BTN;3.1;2019
BWA;2.9;2018
BWA;2.9;2017
BWA;3;2016
BWA;3;2025
BWA;3;2024
BWA;2.8;2023
BWA;2.9;2022
BWA;2.9;2021
BWA;2.8;2020
BWA;2.9;2019
CAF;8.2;2018
CAF;8.2;2017
CAF;8.3;2016
CAF;8.1;2025
CAF;8.1;2024
CAF;8.2;2023
CAF;8;2022
CAF;8;2021
CAF;8.2;2020
CAF;8.2;2019
CAN;2.4;2018
CAN;2.3;2017
CAN;2.4;2016
CAN;2.7;2025
CAN;2.6;2024
CAN;2.5;2023
CAN;2.5;2022
CAN;2.5;2021
CAN;2.5;2020
CAN;2.4;2019
CHE;1.6;2018
CHE;1.7;2017
CHE;1.6;2016
CHE;1.8;2025
CHE;1.8;2024
CHE;1.8;2023
CHE;1.7;2022
CHE;1.7;2021
CHE;1.6;2020
CHE;1.6;2019
CHL;2.9;2018
CHL;2.5;2017
CHL;2.6;2016
CHL;3.2;2025
CHL;3.2;2024
CHL;3.2;2023
CHL;3.2;2022
CHL;3.3;2021
CHL;3.1;2020
CHL;3;2019
CHN;4.1;2018
CHN;4.2;2017
CHN;4.2;2016
CHN;3;2025
CHN;3;2024
CHN;3.1;2023
CHN;3.8;2022
CHN;3.8;2021
CHN;3.9;2020
CHN;4;2019
CIV;4.9;2018
CIV;5.2;2017
CIV;4.8;2016
CIV;4.9;2025
CIV;4.7;2024
CIV;4.7;2023
CIV;4.7;2022
CIV;4.8;2021
CIV;4.7;2020
CIV;4.8;2019
CMR;6.6;2018
CMR;6.6;2017
CMR;6.7;2016
CMR;6.8;2025
CMR;6.9;2024
CMR;7;2023
CMR;6.9;2022
CMR;7;2021
CMR;6.9;2020
CMR;6.8;2019
COD;7.7;2018
COD;7.4;2017
COD;7.5;2016
COD;8.1;2025
COD;8.1;2024
COD;8;2023
COD;7.8;2022
COD;7.8;2021
COD;7.8;2020
COD;7.7;2019
COG;6;2018
COG;5.6;2017
COG;4.7;2016
COG;5;2025
COG;5;2024
COG;5.3;2023
COG;5;2022
COG;5.4;2021
COG;5.3;2020
COG;5.1;2019
COL;5.3;2018
COL;5.2;2017
COL;5.3;2016
COL;5.3;2025
COL;5.2;2024
COL;5.2;2023
COL;5.3;2022
COL;5.3;2021
COL;5.2;2020
COL;5.3;2019
COM;3.1;2018
COM;3.1;2017
COM;3.2;2016
COM;3.3;2025
COM;3.2;2024
COM;3.2;2023
COM;3.4;2022
COM;3.4;2021
COM;3.3;2020
COM;3.1;2019
CPV;2.5;2018
CPV;2.2;2017
CPV;2.2;2016
CPV;2.2;2025
CPV;2.2;2024
CPV;2.4;2023
CPV;2.2;2022
CPV;2.3;2021
CPV;2.2;2020
CPV;2.2;2019
CRI;2.6;2018
CRI;2.6;2017
CRI;2.7;2016
CRI;3.3;2025
CRI;3.2;2024
CRI;3.3;2023
CRI;3.1;2022
CRI;3;2021
CRI;2.9;2020
CRI;2.7;2019
CUB;3.4;2018
CUB;2.9;2017
CUB;2.7;2016
CUB;3.3;2025
CUB;3.3;2024
CUB;3.3;2023
CUB;2.7;2022
CUB;2.7;2021
CUB;3.3;2020
CUB;3.4;2019
CYP;2.8;2018
CYP;2.9;2017
CYP;2.9;2016
CYP;2.9;2025
CYP;2.9;2024
CYP;2.9;2023
CYP;2.9;2022
CYP;2.9;2021
CYP;2.8;2020
CYP;2.8;2019
CZE;1.2;2018
CZE;1.3;2017
CZE;1.6;2016
CZE;1.9;2025
CZE;1.9;2024
CZE;1.8;2023
CZE;1.2;2022
CZE;1.2;2021
CZE;1.2;2020
CZE;1.2;2019
DEU;2.4;2018
DEU;2.5;2017
DEU;2.3;2016
DEU;2.6;2025
DEU;2.6;2024
DEU;2.5;2023
DEU;2.4;2022
DEU;2.4;2021
DEU;2.4;2020
DEU;2.4;2019
DJI;5;2018
DJI;5;2017
DJI;4.9;2016
DJI;5;2025
DJI;5;2024
