ccodealp;year;fh_fog
AFG;2018;3
AFG;2019;3
AFG;2020;3
AFG;2021;1
AFG;2022;1
AFG;2023;1
AFG;2024;1
AFG;2025;
ALB;2018;7
ALB;2019;7
ALB;2020;7
ALB;2021;7
ALB;2022;7
ALB;2023;7
ALB;2024;7
ALB;2025;
DZA;2018;3
DZA;2019;3
DZA;2020;3
DZA;2021;3
DZA;2022;3
DZA;2023;3
DZA;2024;3
DZA;2025;
AND;2018;12
AND;2019;12
AND;2020;11
AND;2021;11
AND;2022;11
AND;2023;11
AND;2024;11
AND;2025;
AGO;2018;2
AGO;2019;2
AGO;2020;2
AGO;2021;2
AGO;2022;2
AGO;2023;2
AGO;2024;2
AGO;2025;
ATG;2018;8
ATG;2019;8
ATG;2020;8
ATG;2021;8
ATG;2022;8
ATG;2023;8
ATG;2024;8
ATG;2025;
AZE;2018;0
AZE;2019;0
AZE;2020;0
AZE;2021;0
AZE;2022;0
AZE;2023;0
AZE;2024;0
AZE;2025;
ARG;2018;8
ARG;2019;8
ARG;2020;8
ARG;2021;8
ARG;2022;8
ARG;2023;8
ARG;2024;8
ARG;2025;
AUS;2018;12
AUS;2019;12
AUS;2020;12
AUS;2021;12
AUS;2022;11
AUS;2023;11
AUS;2024;12
AUS;2025;
AUT;2018;10
AUT;2019;10
AUT;2020;10
AUT;2021;10
AUT;2022;10
AUT;2023;10
AUT;2024;10
AUT;2025;
BHS;2018;10
BHS;2019;10
BHS;2020;10
BHS;2021;10
BHS;2022;10
BHS;2023;10
BHS;2024;10
BHS;2025;
BHR;2018;3
BHR;2019;2
BHR;2020;2
BHR;2021;2
BHR;2022;2
BHR;2023;2
BHR;2024;2
BHR;2025;
BGD;2018;5
BGD;2019;4
BGD;2020;4
BGD;2021;4
BGD;2022;4
BGD;2023;4
BGD;2024;4
BGD;2025;
ARM;2018;4
ARM;2019;5
ARM;2020;6
ARM;2021;6
ARM;2022;6
ARM;2023;6
ARM;2024;6
ARM;2025;
BRB;2018;10
BRB;2019;10
BRB;2020;10
BRB;2021;10
BRB;2022;10
BRB;2023;10
BRB;2024;10
BRB;2025;
BEL;2018;11
BEL;2019;11
BEL;2020;11
BEL;2021;11
BEL;2022;11
BEL;2023;11
BEL;2024;11
BEL;2025;
BTN;2018;9
BTN;2019;9
BTN;2020;9
BTN;2021;8
BTN;2022;8
BTN;2023;8
BTN;2024;9
BTN;2025;
BOL;2018;7
BOL;2019;7
BOL;2020;7
BOL;2021;7
BOL;2022;7
BOL;2023;7
BOL;2024;6
BOL;2025;
BIH;2018;4
BIH;2019;4
BIH;2020;4
BIH;2021;4
BIH;2022;4
BIH;2023;4
BIH;2024;4
BIH;2025;
BWA;2018;8
BWA;2019;8
BWA;2020;8
BWA;2021;8
BWA;2022;8
BWA;2023;8
BWA;2024;8
BWA;2025;
BRA;2018;6
BRA;2019;7
BRA;2020;7
BRA;2021;7
BRA;2022;7
BRA;2023;7
BRA;2024;7
BRA;2025;
BLZ;2018;10
BLZ;2019;9
BLZ;2020;8
BLZ;2021;8
BLZ;2022;8
BLZ;2023;8
BLZ;2024;9
BLZ;2025;
SLB;2018;7
SLB;2019;7
SLB;2020;7
SLB;2021;7
SLB;2022;7
SLB;2023;7
SLB;2024;7
SLB;2025;
BRN;2018;4
BRN;2019;4
BRN;2020;4
BRN;2021;4
BRN;2022;4
BRN;2023;4
BRN;2024;4
BRN;2025;
BGR;2018;8
BGR;2019;9
BGR;2020;8
BGR;2021;8
BGR;2022;8
BGR;2023;8
BGR;2024;8
BGR;2025;
MMR;2018;4
MMR;2019;4
MMR;2020;4
MMR;2021;1
MMR;2022;1
MMR;2023;1
MMR;2024;1
MMR;2025;
BDI;2018;0
BDI;2019;0
BDI;2020;0
BDI;2021;0
BDI;2022;0
BDI;2023;0
BDI;2024;0
BDI;2025;
BLR;2018;2
BLR;2019;2
BLR;2020;1
BLR;2021;1
BLR;2022;1
BLR;2023;1
BLR;2024;1
BLR;2025;
KHM;2018;3
KHM;2019;2
KHM;2020;2
KHM;2021;2
KHM;2022;2
KHM;2023;2
KHM;2024;2
KHM;2025;
CMR;2018;3
CMR;2019;3
CMR;2020;3
CMR;2021;2
CMR;2022;2
CMR;2023;2
CMR;2024;2
CMR;2025;
CAN;2018;12
CAN;2019;12
CAN;2020;12
CAN;2021;12
CAN;2022;12
CAN;2023;11
CAN;2024;11
CAN;2025;
CPV;2018;10
CPV;2019;10
CPV;2020;10
CPV;2021;10
CPV;2022;10
CPV;2023;10
CPV;2024;10
CPV;2025;
CAF;2018;0
CAF;2019;0
CAF;2020;0
CAF;2021;0
CAF;2022;0
CAF;2023;0
CAF;2024;0
CAF;2025;
LKA;2018;6
LKA;2019;5
LKA;2020;5
LKA;2021;5
LKA;2022;5
LKA;2023;5
LKA;2024;6
LKA;2025;
TCD;2018;1
TCD;2019;1
TCD;2020;1
TCD;2021;0
TCD;2022;0
TCD;2023;0
TCD;2024;0
TCD;2025;
CHL;2018;10
CHL;2019;11
CHL;2020;11
CHL;2021;11
CHL;2022;11
CHL;2023;11
CHL;2024;11
CHL;2025;
CHN;2018;2
CHN;2019;2
CHN;2020;1
CHN;2021;1
CHN;2022;1
CHN;2023;1
CHN;2024;1
CHN;2025;
TWN;2018;10
TWN;2019;10
TWN;2020;11
TWN;2021;11
TWN;2022;11
TWN;2023;11
TWN;2024;11
